Unnamed: 0,title,author,year,publication_year,description,Genre,Author_Rating,total_weeks,best_rank,worst_rank,mean_rank,debut_rank,average_rating,ratings_count,rating,review_text,n_votes,is_expert,Units_Sold,Gross_Sales,Sale_Price,Sales_Rank,Duyet_Commercial_Success,Khang_Commercial_Success,Kiet_Commercial_Success,Duyet_Popular_Success,Khang_Popular_Success,Kiet_Popular_Success,Duyet_Critical_Success,Khang_Critical_Success,Kiet_Critical_Success
1389,A Crown Of Swords,Robert Jordan,1996,2013,"The Wheel of Time, Robert Jordan's internationally bestselling fantasy series, has captured the imaginations of millions of readers worldwide. Now book seven in the series, A Crown of Swords, will be available in trade paperback for the first time. This new trade paperback will feature brand-new cover art commissioned specifically for this edition.
In this volume, Elayne, Aviendha, and Mat come ever closer to the bowl ter'angreal that may reverse the world's endless heat wave and restore natural weather. Egwene begins to gather all manner of women who can channel--Sea Folk, Windfinders, Wise Ones, and some surprising others. And above all, Rand faces the dread Forsaken Sammael, in the shadows of Shadar Logoth, where the blood-hungry mist, Mashadar, waits for prey.",Nonfiction,Intermediate,8,2,15,7.75,16,4.01,91,4.0,"I liked the book as I have the rest of them because I am attached to the characters and am interested/invested in what happens to them. This book was very slow and I felt like there was not a lot that actually happened. Having said that, I also think the book was setting the stage for what is to come. I have realized that when reading Jordan's books that is important to his creating such a vivid world and the build up is necessary to having a supremely complex and satisfying story.",0.0,0,54000,53460.0,0.99,661,5,5,5,3,3,3,4,4,4
1475,A Crown Of Swords,Robert Jordan,1996,2013,"The Wheel of Time, Robert Jordan's internationally bestselling fantasy series, has captured the imaginations of millions of readers worldwide. Now book seven in the series, A Crown of Swords, will be available in trade paperback for the first time. This new trade paperback will feature brand-new cover art commissioned specifically for this edition.
In this volume, Elayne, Aviendha, and Mat come ever closer to the bowl ter'angreal that may reverse the world's endless heat wave and restore natural weather. Egwene begins to gather all manner of women who can channel--Sea Folk, Windfinders, Wise Ones, and some surprising others. And above all, Rand faces the dread Forsaken Sammael, in the shadows of Shadar Logoth, where the blood-hungry mist, Mashadar, waits for prey.",Nonfiction,Intermediate,8,2,15,7.75,16,4.01,91,4.0,"""The trumpets of war shall sound at his footsteps, the ravens feed at his voice, and he shall wear a crown of swords."" A Crown of Swords, the eight Wheel of Time book, did little to advance the plot forward. However, ACoS did a great job with character development. Based on other reviews, I have reached the point of the series where the plot grinds to a halt. This is true. I found much of ACoS to be filler. The Ebou Dar subplot particularly felt as if it was going nowhere. While it did end with a climatic scene, it was an unnecessarily long plot angle. Perrin was not featured that much in this book, which is fine. I am only lukewarm on him and I cannot stand Faile. Her jealousy is unreasonable and makes her unbearable. I thought Rand's subplot was decent. His interactions with Min were entertaining. His interactions with Cadsuane were interesting and I am curious to see where they lead. 
 The real strength of ACoS was character development. Mat, as always, continues to become more interesting. I felt he had a real breakthrough by the end. Nynaeve has also improved markedly. Which she still can be unbearable, with her block breaking and her marriage to Lan (finally!), she became a much better character. Egwene seems to be filling into her role as a leader. Rand is finally seeming to ""get it."" He is fairly comfortable in his role, despite the madness creeping in. 
 I was also very excited about the introduction of Moridin. I know that he will play a big role going forward. I think he is a real game changer for the series. I am also glad the Seanchan are back. They are very interested in the mystery about them. I will be interesting to see how they slow down Rand's planning for Tarmon Gaiden. 
 In sum, ACoS was a good, but not great book. I wish the plot would be faster, but so does every other WoT reader. Despite this complaint, the characters really grew, so I was satisfied. As such, I give ACoS four stars.",0.0,0,54000,53460.0,0.99,661,5,5,5,3,3,3,4,4,4
1337,A Dirty Job,Christopher Moore,2006,2007,"Charlie Asher is a pretty normal guy with a normal life, married to a bright and pretty woman who actually loves him for his normalcy. They're even about to have their first child. Yes, Charlie's doing okay--until people start dropping dead around him, and everywhere he goes a dark presence whispers to him from under the streets. Charlie Asher, it seems, has been recruited for a new position: as Death.
It's a dirty job. But, hey! Somebody's got to do it.",Nonfiction,Excellent,5,9,16,11.8,7,4.08,2334,5.0,"<< Kitty! >> 
 Poor Charlie... Not only is he an awkward beta male who lost his wife, but he also has insubordinate employees, an unhelpful sister and sewer harpies to deal with! To cap it all off, his infant daughter can kill people with an innocuous word and he thinks he's Death... 
 This book made me laugh. It also made me cry way more than I expected a Chris Moore book ever could, which either means that he is a genius or that I am, in fact, a weep-bag. ""A Dirty Job"" is set in Moore's San Francisco universe, the one with the Emperor, the vampires and the goth teenagers you might have encountered if you read ""Bloodsucking Fiends"" and ""You Suck: A Love Story"". Moore is deeply deranged, in the best way a human being can be, and it's wonderful. Don't be fooled by the irreverence and blow job jokes: under that layer of crassness, there's a compassionate story. Death is a part of life. A painful, and often terrifying part of life, but Moore somehow took that core subject and wrote a beautiful story about grief, the reasons we go on living and how we deal with the inevitable. It's a surprisingly comforting novel, given all the weird sex jokes... 
 I loved all the characters in the book: even the dumbest ones were still somehow endearing, in that way that makes me wonder what the Hell is wrong with me. The dialogues are surprising and hilarious, the situations quirky but realistic... somehow (expect maybe the hellhounds); it often feels like Moore listens to the deranged conversations I have with my really weird friends. Or perhaps my brain is now so saturated with his words that I channel him when I have a drink? Honestly, it's hard to tell. 
 If you have a gross sense of humor and enjoy funny but deeply touching stories about living, dying, surviving loss, spirituality, absurd word play, the possible oncoming take-over of the world by the forces of darkness and taxidermy, I strongly recommend you get a copy of this book.",12.0,1,48168,47686.32,0.99,707,5,5,5,1,1,1,5,5,5
910,Bet Me,Jennifer Crusie,2004,2004,"Minerva Dobbs knows that happily-ever-after is a fairy tale, especially with a man who asked her to dinner to win a bet. Even if he is gorgeous and successful Calvin Morrisey. Cal knows commitment is impossible, especially with a woman as cranky as Min Dobbs. Even if she does wear great shoes and keeps him on his toes. When they say good-bye at the end of their evening, they cut their losses and agree never to see each other again.
But Fate has other plans, and it's not long before Min and Cal meet again. Soon, they're dealing with a jealous ex-boyfriend, Krispy Kreme donuts, a determined psychologist, chaos theory, a freakishly intelligent cat, Chicken Marsala, and more risky propositions than either of them ever dreamed of. Including the biggest gamble of all--true love.",Fiction,Intermediate,3,9,11,10.0,15,3.94,72038,2.0,"After reading this, I don't think I'll eat Chicken Marsala ever again. 
 The heroine of this book ate Chicken Marsala in two different restaurants, twice for takeout, at a wedding, at a dinner with her friends and cooked it 4 times with different levels of success. I don't know if there's anything more boring than a person who never tries anything new (if I'd been the hero, I'd have stopped dating her just because of this.) 
 I enjoyed the first part of the book - the humor was not over the top and the plot was wacky but not creepy. Then as the book progressed, I found two of my big pet peeves: adults that don't confront their parents when they're out of line and the demonizing of men. You see, I had a mother like Min's so I totally understand what it is to live with constant criticism regarding my figure. But when I was in my 20s, I had a very firm chat with my Mom about it and told her I wouldn't tolerate that behavior. Did my Mother stop completely? Of course not, but at least now it's manageable and not humiliating like it used to be. And that's why I cannot respect Min who at 33-years old, should not let her mother choose her hairdo, her clothes or the food she eats. 
 I HATED how Cal was demonized because he dated a lot. He was so nice and thoughtful that women fell in love with him in droves and when he realized they were more serious than him, he would break up with them. The bastard! Doesn't he know that once a woman falls in love with him, he owes her a ring no matter his feelings? He made them fall in love! It's his fault! Because you know, women are little girls that cannot take responsibility for their own feelings and must get every man they want. **Throwing up now** 
 Then the ending was so saccharine, I don't think I'll eat anything sweet for a month. 
 The narration was good but I don't think that Cal's voice was distinctive enough. But what makes this narration really irritating is the author's writing style. Almost every line of dialogue ends in 'he said' or 'she said' so after a while, I wanted to shoot myself. I had to speed up this book a lot, just to see if I could stop hearing 'so and so said' after every sentence. 
 Because I liked the humor, I was thinking that I should give this author another shot, but then I thought that for the first time ever, an author has put me off food. If nothing else, that's my clue that I should never read anything by this author again. She's liable to make me swear off bread or chocolate and THAT I couldn't stand.",120.0,1,106,846.94,7.99,1266,1,1,2,2,2,2,3,3,3
816,"Bud, Not Buddy",Christopher Paul Curtis,2000,2002,"It's 1936, in Flint, Michigan. Times may be hard, and ten-year-old Bud may be a motherless boy on the run, but Bud's got a few things going for him:
1. He has his own suitcase filled with his own important, secret things.
2. He's the author of Bud Caldwell's Rules and Things for Having a Funner Life and Making a Better Liar Out of Yourself.
3. His momma never told him who his father was, but she left a clue: flyers of Herman E. Calloway and his famous band, the Dusky Devastators of the Depression!!!!!!
Bud's got an idea that those flyers will lead him to his father. Once he decides to hit the road and find this mystery man, nothing can stop him--not hunger, not fear, not vampires, not even Herman E. Calloway himself.",Fiction,Intermediate,1,15,15,15.0,1,3.89,3,4.0,"it was a little anti-climactic. it was nice, though. It occupied my time and fulfilled me. I enjoyed Bud's story",0.0,0,2889,11035.98,3.82,980,3,3,3,1,1,1,4,4,4
746,Cujo,Step hen King,1982,1982,"Outside a peaceful town in central Maine, a monster is waiting.
Cujo is a two-hundred-pound Saint Bernard, the best friend Brett Camber has every had. One day Cujo chases a rabbit into a bolt-hole - a cave inhabited by sick bats. What happens to Cujo, how he becomes a horrifying vortex inexorably drawing in all the people around him makes for one of the most heart-stopping novels Stephen King has written.",Fiction,Intermediate,1,8,15,5.529411764705882,4,3.65,432,5.0,"I was saddened by how the story ended, though thinking about it, there couldn't have been a more realistic conclusion. The King indeed, is a master storyteller. 
 The setting was a rural town in Maine, during the peak of summer 1980. Back then, people communicate by landline telephones; ones service is traded for another's goods; life was simple. Yet in one twisted connivance of fate, tragedy can strike not once, not twice, but multiple times. All throughout their ordeal, I always thought that if Donna just had a mobile phone, things would've turned out differently; but of course there'd be no story. 
 As one can expect, Stephen King's prose combines multiple elements of effective story writing (whatever they are called) through the lives of his characters in his chosen town. All these conspire to weave a tale that one would want to hide away from the world just to relish it, and finish it without disturbance.",1.0,0,2600,7774.000000000001,2.99,26,3,3,3,3,3,3,5,5,5
264,Dead Heat,Patricia Briggs,2015,2005,"From the critically acclaimed author of ""Blood Junction"" and the winner of the Crime Writers' Association's New Writers Award, ""Dead Heat"" is a fast and terrifying journey into the heart of one of the wildest places on earth--the harsh, exotic Australian wilderness.",Fiction,Famous,2,8,16,9.25,9,3.75,49,3.0,"Georgia Parish visits the Australian outback country for her grandfather's funeral. On her way back to the airport, she meets two people who got stuck in a river crossing. They are on the same plane when it crashes. Later, she finds that the plane was sabotaged. She is so emotional involved with the pilot and other passenger who died in the crash that she looks into the reasons why it happened. 
 The first suspect is Ronnie Chen, who was scheduled to be on the plane but never showed up. However, Ronnie is found murdered. 
 Another man on the plane is Lee Denham, supposidly, a person who smuggled Chinese people into Australia. He's a former police officer who is supposed to have gotten his partner killed. Now he is looking for Jon Ming, a scientist who left China with a valuable formula. The Chens are also looking for Ming. They think Georgia knows where he is and they torture her, cutting off her finger, in attempt to gain information. They want to bring Ming and his formula back to China. 
 Georgia is a fun character to read about. She knows no fear and gets into many predicuments, always managing to escape by the narrowest manner. However, after getting her finger cut off, she continued to fight as if nothing happened and this was difficult to believe. 
 The plot develops in a logical manner and we share with Georgia, the search for Ming and the attempted evasion of the Chen's. As the story progresses, the author describes the Australian countryside in a most picturesque manner. 
 Some good parts, interesting characters but a let down at the story's conclusion.",1.0,0,2916,14550.84,4.99,944,2,3,3,2,2,2,2,2,4
736,Disclosure,Michael Crichton,1994,1994,"The thriller that opened a new chapter in the sex wars ...
Thomas Sanders' world collapses in just 24 hours - he is passed over for promotion, his new woman boss comes on to him during a drink after work, then, the next morning, he learns that she has accused him of sexually harassing her. She demands his transfer, thereby threatening to cut him off from the millions he would have made when his high-tech company was floated on the stock market.
What follow next made Disclosure the most talked about novel of the decade.",Fiction,Intermediate,22,1,16,5.818181818181818,12,3.76,58551,3.0,"Great storyline and plot, but would have been more enjoyable if it hadn't been so bloated with extraneous scenes and long lecturing dialog. The movie version was more streamlined in all ways and the book would have benefited from that level of editing. The book does answer one plot point that the movie never completely did: Why did Sanders have to be set up in the first place?",0.0,0,107,854.9300000000001,7.99,1219,1,1,1,4,5,5,2,2,4
1759,Disclosure,Michael Crichton,1994,1994,"The thriller that opened a new chapter in the sex wars ...
Thomas Sanders' world collapses in just 24 hours - he is passed over for promotion, his new woman boss comes on to him during a drink after work, then, the next morning, he learns that she has accused him of sexually harassing her. She demands his transfer, thereby threatening to cut him off from the millions he would have made when his high-tech company was floated on the stock market.
What follow next made Disclosure the most talked about novel of the decade.",Fiction,Intermediate,22,1,16,5.818181818181818,12,3.76,58551,5.0,"All I say is, it's much better than both Movies. (Yes, there a Hindi/Indian Version too)",0.0,0,107,854.9300000000001,7.99,1219,1,1,2,5,5,5,5,5,5
722,Dreamcatcher,Stephen King,2001,2002,"Au coeur de la foret de Derry, quatre amis d'enfance, unis pour le meilleur et pour le pire, confrontes a un phenomene terrifiant qu'ils ne risquent pas d'oublier... Stephen King, au sommet de son talent, cerne au plus profond de l'inconscient collectif les peurs de notre temps. Dans la lignee de Caet d'Insomnie, un tres grand King.",Fiction,Intermediate,15,1,15,5.2,10,3.59,118369,5.0,"Downloaded from Audible.com 
 This was the first Stephen King book I listened to as an Audiobook. It is an excellent story and well narrated. As a result I have ended up listening to many more of his books. 
 Narrator: Jeffrey DeMunn 
 Publisher: Simon & Schuster Audio, 2001 
 Length: 21 hours 15 min. 
 Publisher's Summary 
 A dark and sweeping adventure, Dreamcatcher is set in the haunted city of Derry - the site of Stephen King's It and Insomnia. In it, four young boys stand together and do a brave, good thing, an act that changes them in ways that they hardly understand. 
 A quarter-century later, as grown men who have gone their separate ways, these friends come together once a year to hunt in the woods of Maine. This particular year, a stranger stumbles into their campsite, and before long, the friends are plunged into the most remarkable adventure of their lives. They wind up in a life and death struggle, their only hope for survival locked in their shared past...and in the dreamcatcher.",1.0,0,316,1576.84,4.99,310,1,1,1,5,5,5,5,5,5
