Unnamed: 0,title,author,year,publication_year,description,Genre,Author_Rating,total_weeks,best_rank,worst_rank,mean_rank,debut_rank,average_rating,ratings_count,rating,review_text,n_votes,is_expert,Units_Sold,Gross_Sales,Sale_Price,Sales_Rank,Commercial_success,Popular_success,Critical_success
0,Cryptonomicon,Neal Stephenson,1999,2002,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""
All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",Children,Excellent,3,12,15,14.0,14,4.25,73962,5.0,"Numero uno for me; I've read it several times. Does that make me crazy? Worse yet, I've been through the 'System' series a couple of times too.",0.0,0,50112,124277.76,2.48,694,5,1,5
1,High Five,Janet Evanovich,1999,2011,"What's Stephanie up to now?
Her Uncle Fred has disappeared. A body turns up in a garbage bag. She's got a nasty bookie following her around town. Grandma Mazur has her hands on the stun gun. Stephanie can't keep a car for more than forty-eight hours. Two men are trying to get her into bed. She has nothing to wear to the Mafia wedding. And there's an angry little man (don't call him a dwarf!) who won't leave her apartment.
Bail jumping in Trenton is down to small potatoes. Stephanie's only open case is a small bond for a small violation, committed by a small person who raises Stephanie's frustration level in big ways. So short of money and long on bills, Stephanie comes up with a plan--diversify! Signing on as an intern with entrepreneurial Super Bounty Hunter Ranger, Stephanie ventures into Ranger's mostly morally correct and marginally legal operations.
None of this makes vice cop Joe Morelli a happy man. The cop in him can't help but wonder as to the source of Stephanie's expensive new cars. And the rest of him, the man who's been friend and lover to Stephanie, can't help but wonder if there's more to the partnership than meets the eye.
The internship is downgraded to second priority when Uncle Fred goes missing. Even though Grandma Mazur is sure he was abducted by aliens, Stephanie sets out to look for Fred. He's a perfectly average senior citizen, and he's disappeared without a trace while running errands. He's left his ten-year-old Pontiac station wagon locked up nice and neat in the Grand Union parking lot, the cleaning is carefully arranged on the back seat, and his wife is at home, waiting for him to return with the bread and the milk and the olive loaf bologna. Locked in the top drawer of his desk are photos of a body, dismembered and stuffed into a garbage bag. And locked away in the computer files of a another average citizen are the clues that will lead Stephanie to Fred.",Children,Excellent,2,13,15,14.0,14,4.17,7,4.0,"People aren't jumping bail, so Stephanie's working for Ranger in some of his other, mostly sorta not quite legal businesses in order to make ends meet. In addition to the paying work, she's got a non-paying case looking for her missing penny pinching Uncle Fred. And someone named Bunchy (don't ask why) is following Stephanie in hopes of finding Fred too.",0.0,0,43200,239760.0,5.55,745,5,1,4
2,Cryptonomicon,Neal Stephenson,1999,2002,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""
All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",Children,Excellent,3,12,15,14.0,14,4.25,73962,4.0,"Intricately plotted, well written, and nerdly!",0.0,0,50112,124277.76,2.48,694,5,1,4
3,Cryptonomicon,Neal Stephenson,1999,2002,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""
All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",Children,Excellent,3,12,15,14.0,14,4.25,73962,2.0,"Two stars is probably less generous than I might be, but despite everything I liked about the book, I could not get past its politics and its treatment of women. 
 And I *should* be the target audience for this. I love multi-generational epics. I've read more Michener than I care to recall, and enjoyed every minute of it. Stephenson gets the math right (and the code)-- which is really refreshing. There's plenty of intrigue, and enough plot undulation to keep you engaged (although the denouement is perhaps longer than strictly speaking necessary). 
 But, in Stephenson's world, women exist solely as vehicles for men's sexual climaxes which then free their minds and energy to do their work-- usually some cryptological advance or saving the world. Academics exist only to police people for daring to tell the truth and dissent vocally, litigation exists only so that less brilliant (but ruthless) people can mooch off of the brilliant few- the makers/producers- basically, the entire modern plotline could be cribbed from the more insufferable works of Ayn Rand. It's telling that we have a sympathetic Nazi but no sympathetic academics or lawyers. Don't even get me started on the gun-toting hackers. 
 These things took me out of the story regularly and abruptly enough that it made the book a slog. I skimmed any passage concerning Charlene because I knew I would find it at best annoying and more likely infuriating. 
 So- a fun ride but ultimately disappointing.",0.0,0,50112,124277.76,2.48,694,5,1,2
4,High Five,Janet Evanovich,1999,2011,"What's Stephanie up to now?
Her Uncle Fred has disappeared. A body turns up in a garbage bag. She's got a nasty bookie following her around town. Grandma Mazur has her hands on the stun gun. Stephanie can't keep a car for more than forty-eight hours. Two men are trying to get her into bed. She has nothing to wear to the Mafia wedding. And there's an angry little man (don't call him a dwarf!) who won't leave her apartment.
Bail jumping in Trenton is down to small potatoes. Stephanie's only open case is a small bond for a small violation, committed by a small person who raises Stephanie's frustration level in big ways. So short of money and long on bills, Stephanie comes up with a plan--diversify! Signing on as an intern with entrepreneurial Super Bounty Hunter Ranger, Stephanie ventures into Ranger's mostly morally correct and marginally legal operations.
None of this makes vice cop Joe Morelli a happy man. The cop in him can't help but wonder as to the source of Stephanie's expensive new cars. And the rest of him, the man who's been friend and lover to Stephanie, can't help but wonder if there's more to the partnership than meets the eye.
The internship is downgraded to second priority when Uncle Fred goes missing. Even though Grandma Mazur is sure he was abducted by aliens, Stephanie sets out to look for Fred. He's a perfectly average senior citizen, and he's disappeared without a trace while running errands. He's left his ten-year-old Pontiac station wagon locked up nice and neat in the Grand Union parking lot, the cleaning is carefully arranged on the back seat, and his wife is at home, waiting for him to return with the bread and the milk and the olive loaf bologna. Locked in the top drawer of his desk are photos of a body, dismembered and stuffed into a garbage bag. And locked away in the computer files of a another average citizen are the clues that will lead Stephanie to Fred.",Children,Excellent,2,13,15,14.0,14,4.17,7,4.0,"People aren't jumping bail, so Stephanie's working for Ranger in some of his other, mostly sorta not quite legal businesses in order to make ends meet. In addition to the paying work, she's got a non-paying case looking for her missing penny pinching Uncle Fred. And someone named Bunchy (don't ask why) is following Stephanie in hopes of finding Fred too.",0.0,0,43200,239760.0,5.55,745,5,1,3
5,Cryptonomicon,Neal Stephenson,1999,2002,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""
All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",Children,Excellent,3,12,15,14.0,14,4.25,73962,4.0,"Pretenses are shabby things that, like papier-mache houses, must be energetically maintained or they will dissolve. 
 Neal Stephenson has written an overlong novel focusing on the significance of cryptography both in the world today and the time of World War II. He links the two by using multiple family generations. The predecessors inhabit the early cryptographical universe of Turing and others, dealing with cracking German and Japanese cyphers. The latter family representatives are trying to develop a secure cryptography that will support the creation of a global monetary system, based on gold stashed in the Philippines near the end of the war. 
 Neal Stephenson - from the LA Times 
 Stephenson provides considerable payload here, providing details of cryptography then and now, and considerable analysis of gold as the basis for economic structures. He also tells us much about how business is done when global actors are creating the information economies of the future. 
 There is no shortage of action here. But it is at the expense of character development. To the extent that the players have an inner life, it is radically overshadowed by the external events in which they are involved. The female characters are barely explored here, hardly more than window dressing to the experiences of the men, with considerable emphasis on their looks. This was unwelcome. 
 Still, I enjoyed the book. It is an engaging read, and worth the trip for the information it conveys. 
 Review posted - February 17, 2017 
 Published - May 1999 
 PS - I received this book as a gift from a rocket-scientist nephew in 1999. I wrote most of the above back then. It was never posted anywhere until now. 
 =============================EXTRA STUFF 
 Links to the author's personal, Twitter, Google Plus and FB pages 
 Other Stephenson books reviewed 
 -----Reamde 
 -----SevenEves",109.0,1,50112,124277.76,2.48,694,5,1,2
6,The Fires Of Heaven,Robert Jordan,1993,1974,"When Imelda opened her antique shop, Charles Wingfield expressed doubts about her ability to handle the venture. She assured him, ""I can't be duped by a phony person,"" and he replied, ""Not as a dealer. As a girl, you might be.""
Was he right?",Children,Excellent,6,6,15,8.333333333333334,5,2.82,16,4.0,"Interesting tale, and I learned a lot about antiques and collecting in the process. This gives the story an added dimension.",3.0,1,5265,39961.35,7.59,459,4,3,2
7,Cryptonomicon,Neal Stephenson,1999,2002,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""
All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",Children,Excellent,3,12,15,14.0,14,4.25,73962,4.0,"Pretenses are shabby things that, like papier-mache houses, must be energetically maintained or they will dissolve. 
 Neal Stephenson has written an overlong novel focusing on the significance of cryptography both in the world today and the time of World War II. He links the two by using multiple family generations. The predecessors inhabit the early cryptographical universe of Turing and others, dealing with cracking German and Japanese cyphers. The latter family representatives are trying to develop a secure cryptography that will support the creation of a global monetary system, based on gold stashed in the Philippines near the end of the war. 
 Neal Stephenson - from the LA Times 
 Stephenson provides considerable payload here, providing details of cryptography then and now, and considerable analysis of gold as the basis for economic structures. He also tells us much about how business is done when global actors are creating the information economies of the future. 
 There is no shortage of action here. But it is at the expense of character development. To the extent that the players have an inner life, it is radically overshadowed by the external events in which they are involved. The female characters are barely explored here, hardly more than window dressing to the experiences of the men, with considerable emphasis on their looks. This was unwelcome. 
 Still, I enjoyed the book. It is an engaging read, and worth the trip for the information it conveys. 
 Review posted - February 17, 2017 
 Published - May 1999 
 PS - I received this book as a gift from a rocket-scientist nephew in 1999. I wrote most of the above back then. It was never posted anywhere until now. 
 =============================EXTRA STUFF 
 Links to the author's personal, Twitter, Google Plus and FB pages 
 Other Stephenson books reviewed 
 -----Reamde 
 -----SevenEves",109.0,1,50112,124277.76,2.48,694,5,1,2
8,The Fires Of Heaven,Robert Jordan,1993,1974,"When Imelda opened her antique shop, Charles Wingfield expressed doubts about her ability to handle the venture. She assured him, ""I can't be duped by a phony person,"" and he replied, ""Not as a dealer. As a girl, you might be.""
Was he right?",Children,Excellent,6,6,15,8.333333333333334,5,2.82,16,4.0,"Interesting tale, and I learned a lot about antiques and collecting in the process. This gives the story an added dimension.",3.0,1,5265,39961.35,7.59,459,4,3,2
9,Lucky,Jackie Collins,1985,2002,"In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit - as she struggles for understanding (""After telling the hard facts to anyone, from lover to friend, I have changed in their eyes""); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: ""You save yourself or you remain unsaved.""",Children,Intermediate,23,1,15,7.3478260869565215,1,3.77,78107,3.0,"A little too dry for me, a little too factual, and yet I understand the need for a spare style in this case. I would have loved more insight into PTSD and fighting the urge to feel like ""it's time to get over it!"" 
 Quotes that will stay with me, and which made the book worth reading: 
 ""No one can pull anyone back from anywhere. You save yourself or you remain unsaved."" 
 ""Tess was my first experience of a woman who had inhabited her weirdness, moved into the areas of herself that made her distinct from those around her, and learned how to display them proudly."" 
 ""By the time I was eighteen, she had sat me down and detailed her alcoholism, its onset and aftermath. She believed that by sharing such things I might be able to avoid them or, if need be, recognize them when they occurred. By talking about them to her children, she was also acknowledging that they were real and that they had an effect on us too, that things like this shaped a family, not just the person they happened to."" 
 ""Who would have thought something that happened that long ago could have such power?""",0.0,0,4023,38540.34,9.58,617,3,4,3
