Unnamed: 0,title,author,year,publication_year,description,Genre,Author_Rating,total_weeks,best_rank,worst_rank,mean_rank,debut_rank,average_rating,ratings_count,rating,review_text,n_votes,is_expert,Units_Sold,Gross_Sales,Sale_Price,Sales_Rank,Commercial_success,Popular_success,Critical_success
700,The Lighthouse,P. D. James,2005,2012,"Shortlisted for the Man Booker Prize 2012 Shortlisted for New Writer of the Year in the 2012 Specsavers National Book Awards On the outer deck of a North Sea ferry stands Futh, a middle-aged and newly separated man, on his way to Germany for a restorative walking holiday. After an inexplicably hostile encounter with a hotel landlord, Futh sets out along the Rhine. As he contemplates an earlier trip to Germany and the things he has done in his life, he does not foresee the potentially devastating consequences of things not done. ""The Lighthouse,"" Alison Moore's first novel, tells the tense, gripping story of a man trying to find himself, but becoming lost.",Fiction,Intermediate,7,5,13,9.142857142857142,3,3.38,3458,2.0,"I don't regret reading this book, but I dont know that I would recommend it. it's a sad story about a pathetic man; this story has been done to death. Eh.",0.0,0,3996,30889.08,7.73,619,3,2,2
701,The Dead Zone,Stephen King,1979,1980,"Also see: Alternate Cover Editions for this ISBN [ACE] 
-

Johnny, the small boy who skated at breakneck speed into an accident that for one horrifying moment plunged him into The Dead Zone.
Johnny Smith, the small-town schoolteacher who spun the wheel of fortune and won a four-and-a-half-year trip into The Dead Zone.
John Smith, who awakened from an interminable coma with an accursed power--the power to see the future and the terrible fate awaiting mankind in The Dead Zone.
~",Fiction,Intermediate,32,1,14,7.75,4,3.9,134638,4.0,"Sometimes drawn out, and some of the characters were more evil than necessary, but I enjoyed it overall.",0.0,0,760,1512.4,1.99,148,2,4,4
702,Dolores Claiborne,Stephen King,1992,1993,"Suspected of killing Vera Donovan, her wealthy employer, Dolores Claiborne tells police the story of her life, harkening back to her disintegrating marriage and the suspicious death of her violent husband, Joe St. George, thirty years earlier. Dolores also tells of Vera's physical and mental decline and of her loyalty to an employer who has become emotionally demanding in recent years.",Fiction,Intermediate,14,1,14,4.714285714285714,13,3.82,22879,5.0,"Outstanding, chilling, brilliant...again. Nice work Mr. King, very nice.",1.0,0,4077,17857.26,4.38,608,3,5,5
703,Haunted,Chuck Palahniuk,2005,2006,"Haunted is a novel made up of stories: twenty-three of the most horrifying, hilarious, mind-blowing, stomach-churning tales you'll ever encounter.
The stories are told by people who have all answered an ad headlined 'Artists Retreat: Abandon your life for three months'. They are led to believe that here they will leave behind all the distractions of 'real life' that are keeping them from creating the masterpiece that is in them.
But 'here' turns out to be a cavernous and ornate old theater where they are utterly isolated from the outside world - and where heat and power and, most importantly, food are in increasingly short supply. And the more desperate the circumstances become, the more desperate the stories they tell - and the more devious their machinations to make themselves the hero of the inevitable play/movie/non-fiction blockbuster that will certainly be made from their plight.",Fiction,Intermediate,6,8,13,9.416666666666666,13,3.59,69794,4.0,"So, I know many folks love to go over plot points ad nauseam in their reviews, but I figure by now most people know what this book is about. I'm writing my review more about the spirit of the book. Haunted is probably the most cynical book I've ever read. Hey, I'm cynical myself. I think fame and celebrity are bullshit too. I think there are plenty of people that are pain addicted, self-indulgent assholes too. I write in your face, shock horror too. But Palahniuk's book made me want to go OD on heroin in a piss-soaked alley. 
 Look, the guys clearly a genius. Every page is spiked with incredibly imaginative and well-researched scenarios and the structure of the whole thing is novel: A master story threading a series of shorts together like a necklace of rotting heads. Personally, I liked the shorts better than the master story. A lot more. 
 I know horror ain't supposed to uplift, but there wasn't one damned character that didn't drip with some sort of pollution and horrible narcissism. Not a drollop of hope for the human race in the whole thing. Palahniuk's characters are lost souls in a lost world. If he weren't such a great writer I would have abandoned this book, but he is, so I finished it and have the depression to prove it. 
 4 stars for incredible writing and originality. 1 star knocked off for mental duress. 
 Nganga",0.0,0,375,1871.25,4.99,275,1,3,4
704,The Exorcist,William Peter Blatty,1971,1994,"Four decades after it first shook the nation, then the world, William Peter Blatty's thrilling masterwork of faith and demonic possession returns in an even more powerful form. Raw and profane, shocking and blood-chilling, it remains a modern parable of good and evil and perhaps the most terrifying novel ever written.",Fiction,Intermediate,55,1,10,3.5636363636363635,16,4.14,128301,5.0,"Because I basically now only read books for research material for my writing projects, and doing reviews on them would be BORING... I decided to post some thoughts on books that influenced my life. When I say ""influenced"" it could be profound... or even a book that I enjoyed so much that I it became a marker for a particular type of genre of entertainment that I have since enjoyed all my life. 
 I'd like to share a few thoughts on the book ""The Exorcist."" 
 The novel is a big influence on me, both professionally and personally. The book was a huge sensation when it was first published and then a few years later it was made into a famous motion picture that changed Hollywood forever. Most people have only seen the film and not read the novel. That may not be as true with people who are my age because at the time of its initial release, it was the book to read. 
 The novel was written around 1969 by William Peter Blatty and published in 1971. And though the author has claimed otherwise, the book was immediately a hit. Excuse me while I run through the plot in a few brief sentences. If you don't know the story of this book via the famous film, then your biggest worry is more along the lines of someone discovering where you've landed your flying saucer. 
 A Washington D.C. teenager, Regan MacNeil, becomes possessed by a demon and her mother eventually turns to a young priest, Father Karris, to perform an exorcism. The young priest is not experienced in such matters so he brings in an older priest, Father Merrin, to perform the rites of expulsion. The confrontation between good and evil climaxes with the demon being excised from Regan but at a cost to the living. 
 According to Wikipedia - ""It was inspired by a 1949 case of demonic possession and exorcism that Blatty heard about while he was a student in the class of 1950 at Georgetown University, a Jesuit school."" 
 Neither I nor my friends knew any of the above when we got a hold of the novel in paperback. By this time the year was 1973. I was 13 years old, going to junior high school, and the book for a few weeks was a major distraction in our lives. I distinctly remember the day I first read the illicit passages from the novel. The paperback was being passed around class while the teacher was obliviously giving his lesson on... whatever. When the book finally was handed to me, it looked like some sacred holy book -- dog eared, marked up, and otherwise showing all the signs of having been through the sweaty fingers of hundreds of the devoted. 
 ""Just read the underlined parts."" That was the mantra being said as it was slipped underneath chairs or buried in the middle of a text book as it made its way around the room from student to student. 
 The ""underlined parts"" were like nothing I had ever read before... heard anyone talk about before... even imagined before! It had a young girl saying filthy things, doing awful things... and some of those nasty things were sexual... and religious... combined! I mean a cross jammed into her private parts while saying obscene things about Jesus Christ!!!!! 
 I think I got about only half way through the underlined parts before the guy sitting behind me tapped my shoulder and urged me to hand over the book. I wasn't a slow reader; it was just that there were stuff that I couldn't help reading dozens of times! I handed the book over, but a few days later I secretly obtained my own copy of the novel. 
 I read ""The Exorcist"" from cover to cover in a day and then read it again. This was the beginning of a long affair with the book. And it had nothing to do with the salacious stuff. Okay, well maybe a little... but the nasty bits isn't why I have read the book nearly a half dozen times since. 
 The fascination with the writing is because of Blatty's ambitious attempt to grabble with the concepts of good vs. evil within the context of a commercial thriller. Indeed, his thoughtful philosophical probing would just a few years later seem ridiculously quaint and redundant when other imitators in the genre jettisoned that aspect of the novel in their own attempts to follow up the commercial success of Blatty's book. When Blatty wrote the book he was a successful Hollywood screenwriter who would take off time from working on scripts for serious writing - novels. For him, the deeper exploration of religious and philosophical concepts probably was the reason for devoting time to writing the book in the first place. It was almost as if that he decided to throw in a riveting thriller plot so he didn't have to share his dark ruminations by himself. 
 Blatty's depiction of Regan's ""possession"" is complicated, ambiguous, and far more nuanced than the screenplay (which Blatty also wrote, winning an academy award) for the famous movie. But that's what books can do that other mediums often fall short of. The amazing thing about looking back at the book from a modern vantage point is to see how much ""doubt"" Blatty raises about the ""demonic possession"" even though the mental health field then wasn't even in the same ballpark with today's modern practices. The fact that Blatty spends more than a fair amount of time exploring the medical possibilities to explain Regan's bizarre behavior seems almost prophetic. 
 Also in the book, using Father Karris as his surrogate, Blatty plays around with a lot of questions... musings... doubts concerning the problems facing humanity. Years before he took on writing the novel, the author studied to be a Jesuit priest and there's little doubt that the failure or problems associated with Blatty not answering the order's call ended up informing the development of the Father Karris character. In fact, the most shocking aspect of the novel is how a plot that is ostensibly about good vs. evil has so much lack of faith on the side of good. It is just one of several miraculously time resistant reasons that this book is still such a great read! 
 Years later, after my initial reading of the book, in 1989 to be exact, I had and encounter with William Friedkin, the director of the movie ""the Exorcist."" Friedkin, was in the middle of directing another supernatural movie hoping to resurrect a career that had a few peaks, but too many valleys since his celebrated blockbuster film from 1973. 
 The movie was titled ""The Guardian"" and I was there because I was just starting out my career as a writer, working for ""Fangoria"" magazine. Often times this is the only way a punk like me gets a chance to spend some time with a director of such great accomplishments - my career escalator was going up from the bottom floor... and Friedkin's career escalator was stuck between floors. 
 Asking Friedkin questions about ""The Exorcist"" was a natural part of the interview. His latest production was clearly an attempt to get back to that early high water mark. Unfortunately, none of his answers concerning his masterpiece yielded any insight, except an unintentional one -- I learned that often times artists don't age as well as their creations. 
 We discussed his relationship with Blatty... the book... the movie they worked on together and why a sequel of ""the Exorcist"" had neither involved, reportedly because of disagreements they endured over the years involving the one project that made them both famous. 
 ""Blatty and I argued a lot,"" Friedlin said to me that day. ""I wish it wasn't the case. The sequel was an abomination. The simple explanation is we didn't always see eye to eye. And neither of us wanted to look the other way."" 
 They would end up having more disagreements over the years, but neither would see the success of their collaboration exceeded, or even approached. Which probably also reveals something insightful about the fragility and complexity of achieving artistic greatness. 
 I was supposed to have a follow-up interview with Friedkin the next day but it was cancelled. I was told later by a member of the crew that the director of ""the Exorcist, ""the French Connection,"" (but also ""Jade"" and ""Blue Chips"") had a disagreement with someone on the set, pulled down his pants and stormed off the soundstage. His comeback film would bomb both commercially and critically a few months later. 
 William Peter Blatty never pulled his pants down in public, but he did over the years make every effort to reveal his soul in his later work. And though he never achieved anything remotely as deep or groundbreaking as his 1971 novel, there were flashes of brilliance in ""The Ninth Configuration"" and ""Dimiter."" 
 The last influence Blatty's work had on me personally came in the literary sequel to ""the Exorcist"" entitled ""Legion."" The book unfortunately was not a return to the artistic quality of his masterpiece. The film based on his novel, which Blatty himself directed, captures some shocking moments and has a few interesting set pieces. But alas, missing from both the book and the movie was any real attempt to further the discussion about the bigger questions of good vs. evil... except at the very end of the novel. 
 The coda of ""Legion"" I found to be very profound. And it was something that stayed with me for years and years. Truth be told, it ended up being the first piece of the puzzle when I began conceiving of the plot for ""Demon Days - Angel of Light."" Reaffirming that it's possible that a writer working at the top of his game can possess you for decades and never let go of your soul.",1.0,0,468,1399.3200000000002,2.99,219,2,5,5
705,The Lighthouse,P. D. James,2005,2012,"Shortlisted for the Man Booker Prize 2012 Shortlisted for New Writer of the Year in the 2012 Specsavers National Book Awards On the outer deck of a North Sea ferry stands Futh, a middle-aged and newly separated man, on his way to Germany for a restorative walking holiday. After an inexplicably hostile encounter with a hotel landlord, Futh sets out along the Rhine. As he contemplates an earlier trip to Germany and the things he has done in his life, he does not foresee the potentially devastating consequences of things not done. ""The Lighthouse,"" Alison Moore's first novel, tells the tense, gripping story of a man trying to find himself, but becoming lost.",Fiction,Intermediate,7,5,13,9.142857142857142,3,3.38,3458,4.0,Thoroughly enjoyed reading this novella. Moore has a very unique writing style. Great use of language and description. She brings seemingly mundane scenarios to life with her vivid descriptive writing style.,0.0,0,3996,30889.08,7.73,619,3,2,4
706,The Interestings,Meg Wolitzer,2013,2013,"The summer that Nixon resigns, six teenagers at a summer camp for the arts become inseparable. Decades later the bond remains powerful, but so much else has changed.
In The Interestings, Wolitzer follows these characters from the height of youth through middle age, as their talents, fortunes, and degrees of satisfaction diverge. The kind of creativity that is rewarded at age fifteen is not always enough to propel someone through life at age thirty; not everyone can sustain, in adulthood, what seemed so special in adolescence.
Jules Jacobson, an aspiring comic actress, eventually resigns herself to a more practical occupation and lifestyle. Her friend Jonah, a gifted musician, stops playing the guitar and becomes an engineer. But Ethan and Ash, Jules's now-married best friends, become shockingly successful--true to their initial artistic dreams, with the wealth and access that allow those dreams to keep expanding.
The friendships endure and even prosper, but also underscore the differences in their fates, in what their talents have become and the shapes their lives have taken. Wide in scope, ambitious, and populated by complex characters who come together and apart in a changing New York City, The Interestingsexplores the meaning of talent; the nature of envy; the roles of class, art, money, and power; and how all of it can shift and tilt precipitously over the course of a friendship and a life.",Fiction,Intermediate,4,11,13,11.75,13,3.54,160,5.0,Great book! I could definitely see this as a movie. The story was engaging and kept a good pace. I would read it again for sure!,0.0,0,4536,36242.64,7.99,528,4,1,5
707,The Best Of Me,Nicholas Sparks,2011,2011,"THE BEST OF ME is the heart-rending story of two small-town former high school sweethearts from opposite sides of the tracks. Now middle-aged, they've taken wildly divergent paths, but neither has lived the life they imagined . . . and neither can forget the passionate first love that forever altered their world. When they are both called back to their hometown for the funeral of the mentor who once gave them shelter, they will be forced to confront the choices each has made, and ask whether love can truly rewrite the past.",Fiction,Intermediate,17,1,15,7.294117647058823,12,3.9,105839,4.0,I burst into tears when I read the last page. It was a very emotional ending!,0.0,0,311,307.89,0.99,313,1,2,4
708,Shopaholic & Sister,Sophie Kinsella,2004,2012,"Rebecca Bloomwood is happily married to Luke Brandon, and all her problems seem to be at an end. But suddenly into her life steps a sister, of whose existence Becky had been completely unaware. Becky is only too anxious to welcome her into the family. There's only one snag - she hates shopping!",Fiction,Intermediate,5,9,13,10.2,15,3.64,50,3.0,"This is the 4th book in the shopaholic series. Again as in the previous books, the main character is Rebecca aka Becky Bloomwood. She spends far too much money on stupid thing eg clothes, shoes, handbags, waffles machines... 
 She is now married to Luke Brandon who she met in the 1st book. They honeymooned for 10 months and have now come home back to reality. On arrival home,Becky thinks her parents are acting strange and she discovers that she has a sister. And the story begins. 
 To be honest, I struggled through this book. I've read the 1st and haven't read the 2nd or 3rd but don't feel as though I missed anything. I'm quite glad to have skipped them really. Although well written and funny, I find Becky really annoying. She hasn't learn't after all this time that she spends too much money on rubbish. Its like reading the first book all over again but with a few new characters and in a slightly different setting. 
 Unfortunately I have the next book in series already so I will just read that when I want an easy read with a few laughs.",0.0,0,4400,13156.000000000002,2.99,1059,4,2,3
709,Forever,Pete Hamill,2003,2003,"This widely acclaimed bestseller is the magical, epic tale of an extraordinary man who arrives in New York in 1740 and remains... forever. 
Through the eyes of Cormac O'Connor--granted immortality as long as he never leaves the island of Manhattan--we watch New York grow from a tiny settlement on the tip of an untamed wilderness to the thriving metropolis of today. And through Cormac's remarkable adventures in both love and war, we come to know the city's buried secrets--the way it has been shaped by greed, race, and waves of immigration, by the unleashing of enormous human energies, and, above all, by hope.",Fiction,Intermediate,6,8,15,11.0,1,3.93,8877,5.0,This was an amazing story! I get so excited when I tell people about this book. The historic information is worth the read in itself.,0.0,0,106,827.86,7.81,1249,1,2,5
