Unnamed: 0,title,author,year,publication_year,description,Genre,Author_Rating,total_weeks,best_rank,worst_rank,mean_rank,debut_rank,average_rating,ratings_count,rating,review_text,n_votes,is_expert,Units_Sold,Gross_Sales,Sale_Price,Sales_Rank,Commercial_success,Popular_success,Critical_success
1400,Bridget Jones: The Edge Of Reason,Helen Fielding,2000,2004,"Lurching from the cappuccino bars of Notting Hill to the blissed-out shores of Thailand, Bridget Jones searches for The Truth in spite of pathetically unevolved men, insane dating theories, and Smug Married advice (""'I'm just calling to say in the potty! In the potty! Well, do it in Daddy's hand, then!'""). She experiences a zeitgeist-esque Spiritual Epiphany somewhere between the pages of ""How to Find the Love You Want Without Seeking It"" (""can self-help books really self help?""), protective custody, and a lightly chilled Chardonnay.",Nonfiction,Intermediate,8,7,15,10.125,7,3.54,44,3.0,Was quite slow at first and then it was up and down from there. I would have rated it lower but it somehow always managed to make me laugh out loud (esp. the Colin Firth interview) so settled for a 3/5 in the end.,0.0,0,4360,43556.4,9.99,1090,4,3,3
1401,Christine,Stephen King,1983,2001,"""This is the story of a lover's triangle...It was bad from the start. And it got worse in a hurry.""
It's love at first sight for high school student Arnie Cunningham when he and his best friend Dennis Guilder spot the dilapidated 1958 red-and-white Plymouth Fury for sale--dubbed ""Christine"" by its original cantankerous owner--rusting away on a front lawn of their suburban Pennsylvania neighborhood. Dennis knows that Arnie's never had much luck in the looks or popularity department, or really taken an interest in owning a car . . . but Christine quickly changes all that. Arnie suddenly has the newfound confidence to stick up for himself, going as far as dating the most beautiful girl at Libertyville High--transfer student Leigh Cabot--even as a mysteriously restored Christine systematically and terrifyingly consumes every aspect of Arnie's life. Dennis and Leigh soon realize that they must uncover the awful truth behind a car with a horrifying and murderous history. Hell hath no fury like a woman scorned, and heaven help anyone who gets in Christine's way...",Nonfiction,Intermediate,32,2,14,5.96875,4,3.73,152756,3.0,"One of the few books I read after seeing the movie, and to King's credit it stands up exceedingly well.",0.0,0,1784,1766.16,0.99,49,3,4,3
1402,The Blind Assassin,Margaret Atwood,2000,2001,"Margaret Atwood takes the art of storytelling to new heights in a dazzling novel that unfolds layer by astonishing layer and concludes in a brilliant and wonderfully satisfying twist. Told in a style that magnificently captures the colloquialisms and cliches of the 1930s and 1940s, The Blind Assassin is a richly layered and uniquely rewarding experience.
It opens with these simple, resonant words: ""Ten days after the war ended, my sister drove a car off the bridge."" They are spoken by Iris, whose terse account of her sister Laura's death in 1945 is followed by an inquest report proclaiming the death accidental. But just as the reader expects to settle into Laura's story, Atwood introduces a novel-within-a- novel. Entitled The Blind Assassin, it is a science fiction story told by two unnamed lovers who meet in dingy backstreet rooms. When we return to Iris, it is through a 1947 newspaper article announcing the discovery of a sailboat carrying the dead body of her husband, a distinguished industrialist.
For the past twenty-five years, Margaret Atwood has written works of striking originality and imagination. In The Blind Assassin, she stretches the limits of her accomplishments as never before, creating a novel that is entertaining and profoundly serious. The Blind Assassin proves once again that Atwood is one of the most talented, daring, and exciting writers of our time. Like The Handmaid's Tale, it is destined to become a classic.",Nonfiction,Intermediate,7,6,14,8.857142857142858,15,3.95,100153,0.0,Recommended by my best friend,0.0,0,236,1885.64,7.99,378,1,2,3
1403,Dead Reckoning,Charlaine Harris,2011,2005,"Assistant D.A. Kate Megason is about to prosecute the case of her career when someone starts sending her terrifying messages. Someone who obviously knows her deep, dark secret. Now, she needs the help of Frank Matrone--an investigator with his own shadowy past--or else Kate may have no chance of surviving a killer's brutal wrath.",Nonfiction,Intermediate,10,1,15,6.2,2,3.94,331,4.0,I really like some of Castillo's books. This is one I really enjoyed. They are violent but worth reading.,0.0,0,38448,38063.52,0.99,770,5,4,4
1404,This Is How You Lose Her,Junot Díaz,2012,2012,"On a beach in the Dominican Republic, a doomed relationship flounders. In the heat of a hospital laundry room in New Jersey, a woman does her lover's washing and thinks about his wife. In Boston, a man buys his love child, his only son, a first baseball bat and glove. At the heart of these stories is the irrepressible, irresistible Yunior, a young hardhead whose longing for love is equaled only by his recklessness--and by the extraordinary women he loves and loses: artistic Alma; the aging Miss Lora; Magdalena, who thinks all Dominican men are cheaters; and the love of his life, whose heartbreak ultimately becomes his own.
In prose that is endlessly energetic, inventive, tender, and funny, the stories in This Is How You Lose Herlay bare the infinite longing and inevitable weakness of the human heart. They remind us that passion always triumphs over experience, and that ""the half-life of love is forever.""",Nonfiction,Intermediate,6,6,15,8.833333333333334,5,3.75,68125,5.0,So good! I am looking up a word or two on every page. I need a Spanish speaker looking over my shoulder whispering definitions in my ear.,0.0,0,31536,169663.68,5.38,865,5,2,5
1405,Where We Belong,Emily Giffin,2012,2012,"Marian Caldwell is a thirty-six year old television producer, living her dream in New York City. With a fulfilling career and satisfying relationship, she has convinced everyone, including herself, that her life is just as she wants it to be. But one night, Marian answers a knock on the door . . . only to find Kirby Rose, an eighteen-year-old girl with a key to a past that Marian thought she had sealed off forever. From the moment Kirby appears on her doorstep, Marian's perfectly constructed world--and her very identity--will be shaken to its core, resurrecting ghosts and memories of a passionate young love affair that threaten everything that has come to define her.
For the precocious and determined Kirby, the encounter will spur a process of discovery that ushers her across the threshold of adulthood, forcing her to re-evaluate her family and future in a wise and bittersweet light. As the two women embark on a journey to find the one thing missing in their lives, each will come to recognize that where we belong is often where we least expect to find ourselves--a place that we may have willed ourselves to forget, but that the heart remembers forever.",Nonfiction,Intermediate,7,2,14,5.571428571428571,16,3.87,69135,5.0,A beautifully written novel in every sense. I absolutely adored the Zelda & Fitzgerald reference on the final pages...,0.0,0,32616,32289.84,0.99,845,5,3,5
1406,The Girl Who Loved Tom Gordon,Stephen King,1999,2005,"Nine-year-old Trisha McFarland strays from the path while she and her recently divorced mother and brother take a hike along a branch of the Appalachian Trail. Lost for days, wandering farther and farther astray, Trisha has only her portable radio for comfort. A huge fan of Tom Gordon, a Boston Red Sox relief pitcher, she listens to baseball games and fantasizes that her hero will save her. Nature isn't her only adversary, though - something dangerous may be tracking Trisha through the dark woods.",Nonfiction,Intermediate,18,1,15,7.0,15,3.56,97308,5.0,"Strangely enough I read this book whilst hiking at the hogsback forest in the eastern cape. It forms part of the greater amatola hiking trail. just per chance the subject in his book is also on a day hike former part of a larger trail.that feeling of being lost sometimes does induce a sense of wonder and fear. its written in our genes to be explorers with a little fear of the unknown added to ensure our own survival. the fading radio also shows our need for intimacy and the richness of our imagination.our inate ability to ""see"" beyond the physical existence.",0.0,0,4698,36362.52,7.74,503,4,4,5
1407,Deadlocked,Charlaine Harris,2012,2016,"Brielle Connors, former officer for the elite bounty hunters the Cavalier Security Corp, is on a mission. To get her job back and make her old boss and ex-boyfriend look like a fool. After weeks of research and leg work, she finally discovers the holy grail of bounties and sets out to reel it in. Only, the alien Tulan bounty hunter, Finn Strydom, beats her to it. Rushing to the payload and bickering all the way, the two find themselves stranded on an abandoned ship with no hope of rescue. A last minute confession leads to a hot close encounter as the two face death.",Nonfiction,Intermediate,6,1,10,4.0,4,4.28,19,5.0,"http://fallenoverbookreviews.blogspot... 
 I received this book to give an honest review. 
 As anyone who knows my genre of reading knows that I am not big on Sci-fi books. I guess for me sometimes they feel too Sci-fiish (not sure that is even a real word.) Though on this book I was worried that I wouldn't like it but I was wrong. It was actually a bit enjoyable, though hold up a minute don't think that I am fully on the Sci-Fi train just this book was a good one for me. 
 We are introduced to Brielle who I am assuming is a human and works hard for what she has which isn't much but it is hers. I love the fact that she is a bounty hunter to me that is so cool and amazing though we don't read about her capturing anyone we get the feeling she is good at what she does. 
 When she gets laid off because of something silly she decides to find this major treasure only thing is another bounty hunter Finn is set on getting it first. Finn is an alien but you can tel with the way he jokes around with Brielle he has feelings for her. 
 When the two are stuck in a ship things get hot and heavy and then we learn just a bit about the Tulan and what happens within that species. I can honestly say I wasn't expecting that part it was a nice little twist. 
 When Brielle goes to not only work with her friend on a site across the system she also is there to warn them of the impending battle that may approach will Finn find her in time to save them all? Or will he be too late? Will Brielle give in to her feelings and needs to Finn or still be stubborn? 
 I really liked how Finn for an alien was a sweetheart and no matter what Brielle did or said did not deter him away. 
 There is adventure, hot scenes and action all rolled up into one. Check it out if you like Sci-Fi Romance.",0.0,0,106,1058.94,9.99,1255,1,4,5
1408,The Eyes Of The Dragon,Stephen King,1987,1987,"A captivating tale of heroic adventure, of dragons and princes, of mysterious mice and magical men, as only Stephen King can tell it.
The king is dead, murdered by a strange and horrible poison. But while the land of Delain mourns, the magician Flagg, unscrupulous, greedy and powerful, plots. Soon the king's oldest son, Peter is imprisoned at the top of a high tower, the Needle, for his father's murder, while his younger brother Thomas inherits the throne.
Only Peter knows the truth of his own innocence, and the truth of the evil that is Flagg. And only Peter can save Delain from the horror Flagg has in store. He has a plan, but it is dangerous and desperate and if he fails there will be no second chance. And all the while, Flagg's words echo in his mind: ""I'll carry your head on my saddle-horn for a thousand years. Here I come, Peter! Coming for your head!""",Nonfiction,Intermediate,25,1,16,6.346153846153846,5,3.92,203,4.0,I read this book years ago. The Dutch translation. Glad I now have The English version and plan to re read it.,0.0,0,33264,199251.36,5.99,837,5,5,4
1409,Shanghai Girls,Lisa See,2009,2009,"For readers of the phenomenal bestsellers Snow Flower and the Secret Fanand Peony in Love--a stunning new novel from Lisa See about two sisters who leave Shanghai to find new lives in 1930s Los Angeles
May and Pearl, two sisters living in Shanghai in the mid-1930s, are beautiful, sophisticated, and well-educated, but their family is on the verge of bankruptcy. Hoping to improve their social standing, May and Pearl's parents arrange for their daughters to marry ""Gold Mountain men"" who have come from Los Angeles to find brides.
But when the sisters leave China and arrive at Angel's Island (the Ellis Island of the West)--where they are detained, interrogated, and humiliated for months--they feel the harsh reality of leaving home. And when May discovers she's pregnant the situation becomes even more desperate. The sisters make a pact that no one can ever know.
A novel about two sisters, two cultures, and the struggle to find a new life in America while bound to the old, Shanghai Girls is a fresh, fascinating adventure from beloved and bestselling author Lisa See.",Nonfiction,Intermediate,10,4,15,9.2,6,3.88,55,4.0,3.8 stars,0.0,0,308,2152.92,6.99,315,1,2,4
