Unnamed: 0,title,author,year,publication_year,description,Genre,Author_Rating,total_weeks,best_rank,worst_rank,mean_rank,debut_rank,average_rating,ratings_count,rating,review_text,n_votes,is_expert,Units_Sold,Gross_Sales,Sale_Price,Sales_Rank
29,Hot Six,Janet Evanovich,2000,2011,,Fiction,Excellent,9,1,15,9.555555555555555,7,4.18,4.0,3.0,"In which Bob the dog joins the gang, which didn't do much for me. Also in which Grandma Mazer comes to live with Stephanie and it working on getting her own driver's license, which is rather entertaining.",0.0,0,437400,4632.39,3.99,705
491,Paradise Lost,J. A. Jance,2001,2003,"John Milton's Paradise Lost is one of the greatest epic poems in the English language. It tells the story of the Fall of Man, a tale of immense drama and excitement, of rebellion and treachery, of innocence pitted against corruption, in which God and Satan fight a bitter battle for control of mankind's destiny. The struggle rages across three worlds - heaven, hell, and earth - as Satan and his band of rebel angels plot their revenge against God. At the center of the conflict are Adam and Eve, who are motivated by all too human temptations but whose ultimate downfall is unyielding love.
Marked by Milton's characteristic erudition, Paradise Lost is a work epic both in scale and, notoriously, in ambition. For nearly 350 years, it has held generation upon generation of audiences in rapt attention, and its profound influence can be seen in almost every corner of Western culture.
(P)2009 Tantor",Fiction,Intermediate,3,12,16,14.333333333333334,10,3.804651162790697,77225.5988372093,5.0,Best characterization of satan ever!,0.0,0,7272504,1344066.48,4.99,502
635,The Beach House,Stephen Longstreet,1952,2009,"Known in Nantucket as the eccentric lady who lives in the rambling house on the bluff, Nan is a free spirit who couldn't care less what people think. She's sixty-five years old, and if her neighbors are away, why shouldn't she skinny-dip in their swimming pools? But when she discovers that the money she relies on is dwindling and that her beloved home is at stake, Nan knows she must make drastic changes. She decides to offer rooms for rent, and slowly people start to fill the house with noise, laughter and tears.
There's Daniel, the quiet, contemplative father of two girls; Daff, the single mother of a truculent teenager; and Nan's own son, who's come home for the summer. As the house comes alive again, Nan finds her family expanding - until an unexpected visitor turns all their lives upside down.
Poignant and absorbing, The Beach Houseis a captivating novel about family, friendship and those moments that can change your life.",Fiction,Intermediate,1,16,16,7.476190476190476,16,3.888507462686567,33165.68905472637,3.0,"This was a nice, completely predictable, summer read, in which everybody lives happily ever after on Nantucket. 
 A variety of characters that ticked all the inclusion boxes, who though written as Americans, very oddly spoke British English. 
 Recommended for a beach read.",0.0,0,282638160,3940978.86,3.99,837
1624,The Boston Girl,Anita Diamant,2014,2014,"From the New York Times bestselling author of The Red Tent and Day After Night, comes an unforgettable coming-of-age novel about family ties and values, friendship and feminism told through the eyes of a young Jewish woman growing up in Boston in the early twentieth century.
Addie Baum is The Boston Girl, born in 1900 to immigrant parents who were unprepared for and suspicious of America and its effect on their three daughters. Growing up in the North End, then a teeming multicultural neighborhood, Addie's intelligence and curiosity take her to a world her parents can't imagine - a world of short skirts, movies, celebrity culture and new opportunities for women. Addie wants to finish high school and dreams of going to college. She wants a career and to find true love.
Eighty-five-year-old Addie tells the story of her life to her twenty-two-year-old granddaughter, who has asked her ""How did you get to be the woman you are today?"" She begins in 1915, the year she found her voice and made friends who would help shape the course of her life. From the one-room tenement apartment she shared with her parents and two sisters, to the library group for girls she joins at a neighborhood settlement house, to her first, disastrous love affair, Addie recalls her adventures with compassion for the naive girl she was and a wicked sense of humor.
Written with the same attention to historical detail and emotional resonance that made Anita Diamant's previous novels bestsellers, The Boston Girl is a moving portrait of one woman's complicated life in twentieth-century America, and a fascinating look at a generation of women finding their places in a changing world.",Fiction,Intermediate,12,6,15,11.583333333333334,7,3.79,49893.3886509636,4.0,"I really enjoyed this book, much more than I thought. It was a nice coming of age novel.",0.0,0,47970240,6152071.2,4.99,1120
1611,Her Fearful Symmetry,Audrey Niffenegger,2009,2009,"Six years after the phenomenal success of The Time Traveler's Wife, Audrey Niffenegger has returned with a spectacularly compelling and haunting second novel set in and around Highgate Cemetery in London.
When Elspeth Noblin dies of cancer, she leaves her London apartment to her twin nieces, Julia and Valentina. These two American girls never met their English aunt, only knew that their mother, too, was a twin, and Elspeth her sister. Julia and Valentina are semi-normal American teenagers--with seemingly little interest in college, finding jobs, or anything outside their cozy home in the suburbs of Chicago, and with an abnormally intense attachment to one another.
The girls move to Elspeth's flat, which borders Highgate Cemetery in London. They come to know the building's other residents. There is Martin, a brilliant and charming crossword puzzle setter suffering from crippling Obsessive Compulsive Disorder; Marjike, Martin's devoted but trapped wife; and Robert, Elspeth's elusive lover, a scholar of the cemetery. As the girls become embroiled in the fraying lives of their aunt's neighbors, they also discover that much is still alive in Highgate, including--perhaps--their aunt, who can't seem to leave her old apartment and life behind.
Niffenegger weaves a captivating story in Her Fearful Symmetry about love and identity, about secrets and sisterhood, and about the tenacity of life--even after death.",Nonfiction,Novice,3,6,14,10.0,9,3.24,57582.972674040335,4.0,"I did not love Time Travelers Wife, but did really like this one quite a bit. It draws you in and you're in the middle of the story before you even realize how little you've read. I love a book like that!",0.0,0,19735080,1922325.9,3.79,1120
59,"Full Dark, No Stars",Stephen King,2010,2010,"A new collection of four never-before-published stories from Stephen King.
1922
The story opens with the confession of Wilfred James to the murder of his wife, Arlette, following their move to Hemingford, Nebraska onto land willed to Arlette by her father.
Big Driver
Mystery writer, Tess, has been supplementing her writing income for years by doing speaking engagements with no problems. But following a last-minute invitation to a book club 60 miles away, she takes a shortcut home with dire consequences.
Fair Extension
Harry Streeter, who is suffering from cancer, decides to make a deal with the devil but, as always, there is a price to pay.
A Good Marriage
Darcy Anderson learns more about her husband of more than twenty years than she would have liked to know when she literally stumbles upon a box under a worktable in their garage.",Fiction,Excellent,8,2,12,5.5,13,4.03,51394.55877483444,4.0,"Not my favorite King book. But then, I've not really been excited since ""The Stand"" by his stuff. Sure, he's a good writer and a good diversion, but the repetition of phrases he likes (You like it, it likes you) is too-well used in his writing. That and several other gimmicks of King's just makes me...meh. But yes, I read it and King got paid. So there ya go... 
 The stories were all over the place both in subject and quality. Big Driver was perhaps the centerpiece, but doesn't have much substance. 
 It would be a good library book, best read as an aside to textbooks or something.",0.0,0,1034048,6193947.52,5.99,1236
980,Dreamcatcher,Stephen King,2001,2002,"What might be done to human beings by the ""Other""--whether the ""Other"" be vampires, demons or creatures from outer space--is always in competition for absolute horror with what we do to ourselves. Stephen King has, in his time, played with both sources of the nightmarish and in Dreamcatcher, the first complete novel since his near-fatal accident, he gives us both.
Four childhood friends, united by secrets, are caught in the quarantine zone when something crashes into the remote forests of Maine; and the question becomes who will avoid being eaten alive by alien fungi, torn from the inside by alien ferrets, possessed by alien minds or menaced by a psychotic military commander to whom ruthlessness has become a macho ego trip?
The Earth is in peril as well, needless to say, but most of our attention is taken up with a few men caught on the edge, and where the most important thing in the world turns out to be the fact that four small boys saved a fifth from a beating.
This has the hall-marks of a good King novel--memorable catchphrases whose meaning we only gradually learn and a sense of how it feels to be human. --Roz Kaveney",Fiction,Intermediate,15,1,15,5.2,10,3.6051875,98066.88125,3.0,"As I was going up the stair 
 I meet a man who wasn't there; 
 He wasn't there again today! 
 I wish, I wish he'd stay away. 
 Well, what a ride that was... 
 Rating this book was quite hard. I'm still not sure if I'm okay with giving it 3 stars, because it had so many good characters, parts and plot twists, so one part of me feels like giving it 5 stars. But then again, at some parts, it left me feeling miserable and asking myself if I was ever going to finish it, so because of that, the other part of me think that it deserves only 2 stars. So I guess I'll just have to settle and give it 3 (3.3) stars. But still, I don't think I've ever wished that Goodreads had a half-star system, as much as I do now. 
 Dreamcatcher is a book about alien invasion, but it's unlike any other alien invasion book. Also, it is unlike any other Stephen King's book that I've read. The book started out great. I actually loved the first half. I loved getting to know our main characters, I loved the plot, and I loved how King introduced aliens. There were even some scenes that creeped me out, and at some parts I even had to stop reading for a few seconds. But then, somewhere in the middle, something happened, and the book unfortunately got worse. It started dragging on and at some parts it became flat out boring. Then, maybe 50 pages before the end, the pace picked up again, and it got back to being amazing. I absolutely loved the way it ended, and how everything came together. 
 When it comes to characters, just like in any other King's work, they were my favorite part of this book (well, at least some of them were). I loved our main four characters (Henry and Jonesy especially). I also loved Duddits, and even Owen. But, on the other hand, there is Kurtz - a character I absolutely despised. And he is the main reason why I had problems with this book. I think that his character was completely unnecessary. I loved reading from everyone's point of view except from his. And the irony was that his chapters got bigger and bigger as the book went on. In my opinion, he brought nothing to the story, and was only there to make it longer. If his character was removed from the story I don't think that anything important in the plot would change. 
 In the end, even though this book made me question my sanity a few times, I'm still glad that I've read it. Even though it had some bad parts, it also had so many more amazing parts.",54.0,1,1516800,7568832.0,4.99,310
1765,The Guardian,Nicholas Sparks,2003,2005,"Julie Barenson's young husband left her two unexpected gifts before he died: a Great Dane puppy named Singer and the promise that he would always be watching over her. Now, four years have passed. Still living in the small town of Swansboro, North Carolina, 29-year-old Julie is emotionally ready to make a commitment to someone again. But who? Should it be Richard Franklin, the handsome, sophisticated engineer who treats her like a queen? Or Mike Harris, the down-to-earth nice guy who was her husband's best friend? Choosing one of them should bring her more happiness than she's had in years. Instead, Julie is soon fighting for her life in a nightmare spawned by a chilling deception and jealousy so poisonous that it has become a murderous desire",Fiction,Intermediate,14,2,11,5.428571428571429,9,4.070901408450704,98598.63661971832,4.0,"I've never written a review before, but I thought that this book really qualifies for one. 
 Sometimes you just want something that you can indulge yourself into without the analysis and critical thinking, and this one was perfect for it. 
 I love the whole story between Mike and Julie and the slow realization of Julie as she comes to love Mike. 
 and of course I love Singer, The Guardian. 
 This book is full of twists that I didnt expect at all. 
 I was surprised by the ending, But I loved it. 
 This is the first time I read to Sparks and I'm really glad that I did. 
 The book is just beautiful. Brought tears to my eyes. a(tm)Y=",33.0,1,18806480,18618415.2,0.99,42
32,The Chosen,J. R. Ward,2017,2010,"Love or duty -- which would you choose? Prince Severin has been brought up to put duty before all else. Now, his duty is to marry and produce an heir. He has his choice of princesses. Unfortunately, his passion is for princes. Havyn has been a slave all his life. When his powers are discovered, he finds himself purchased and freed by a Prince and apprenticed to the royal wizard, Ildar. His duty is to stay chaste to keep his powers strong. Unfortunately, his passion is for Severin. With kingdoms at war, the throne hanging in the balance, and magic in the air, can the two men find happiness together, or is duty more important than love?",Fiction,Excellent,1,3,10,4.425,6,3.784806201550387,138.8217054263566,5.0,"This is a very sweet love story set in a fantasy world. 
 The little details and world-building are done very nicely. 
 I will look for some more of Annette Gisby's work in future.",1.0,0,22291200,1129524.0,1.99,1099
835,"World Without End, Amen",Jimmy Breslin,1973,1973,,Fiction,Intermediate,17,4,10,7.0588235294117645,1,3.33,40.0,3.0,"You wouldn't think any Irish-American novel could be more depressing than STUDS LONIGAN, but this one really is. Poor Dermot Davey! Had to smile when his buddy got transferred to the ""bow and arrow"" squad, though. Twang!",0.0,0,15555,15399.45,0.99,117
